,Player,Giá chuyển nhượng
0,Erling Haaland,€155.8M
1,Bukayo Saka,€127.5M
2,Phil Foden,€116.2M
3,Rodri,€100.4M
4,Kai Havertz,€94.6M
5,William Saliba,€79.5M
6,Cole Palmer,€79.4M
7,Martin Ødegaard,€69.9M
8,Rúben Dias,€68.7M
9,Declan Rice,€68.3M
10,Alexander Isak,€67.9M
11,Bruno Guimarães,€63.8M
12,Gabriel Martinelli,€61.7M
13,Ollie Watkins,€60M
14,Bernardo Silva,€59.4M
15,Marcus Rashford,€58.9M
16,Jarrod Bowen,€58.6M
17,Dominic Solanke,€57.9M
18,Dejan Kulusevski,€57.3M
19,Nicolas Jackson,€55.5M
20,Bruno Fernandes,€55.2M
21,Alexis Mac Allister,€54.9M
22,Rasmus Højlund,€54.6M
23,Enzo Fernández,€54.3M
24,Mohammed Kudus,€54.2M
25,Ben White,€53.8M
26,Gabriel Magalhães,€53.3M
27,Dominik Szoboszlai,€51.8M
28,Gabriel Jesus,€51M
29,Luis Díaz,€50.7M
30,Eberechi Eze,€50.7M
31,Anthony Gordon,€50.3M
32,Darwin Núñez,€50M
33,Manuel Akanji,€49.7M
34,Amadou Onana,€49.3M
35,Ian Maatsen,€49.2M
36,Ryan Gravenberch,€46.2M
37,Moisés Caicedo,€44.9M
38,Raheem Sterling,€44.6M
39,Rico Lewis,€44.6M
40,Cody Gakpo,€44M
41,Bryan Mbeumo,€44M
42,Brennan Johnson,€43.7M
43,Ederson,€43.2M
44,Pedro Neto,€42.7M
45,Micky van de Ven,€42M
46,John McGinn,€41.4M
47,Diogo Dalot,€41.1M
48,Dwight McNeil,€39.7M
49,Ezri Konsa,€39.7M
50,Alejandro Garnacho,€38.8M
51,Levi Colwill,€38.2M
52,Pau Torres,€38M
53,Morgan Gibbs-White,€36.8M
54,Lucas Paquetá,€36.2M
55,Jack Grealish,€35.7M
56,David Raya,€35.5M
57,Lewis Miley,€35.5M
58,Diogo Jota,€35.4M
59,Joachim Andersen,€35.3M
60,Jordan Pickford,€35.1M
61,Marc Guéhi,€35.1M
62,Kobbie Mainoo,€34.8M
63,Evan Ferguson,€34.3M
64,Emiliano Martínez,€34.2M
65,Antonee Robinson,€33.8M
66,Sandro Tonali,€33.2M
67,Youri Tielemans,€33M
68,Andrew Robertson,€32.5M
69,André Onana,€32.2M
70,Elliot Anderson,€32.2M
71,Jhon Durán,€31.6M
72,Nathan Collins,€31.4M
73,Jarrad Branthwaite,€31.2M
74,Boubacar Kamara,€31M
75,Harvey Elliott,€30.9M
76,Kevin De Bruyne,€30.8M
77,Timo Werner,€30.8M
78,Alex Iwobi,€30.7M
79,Pedro Porro,€30.6M
80,Christopher Nkunku,€30.6M
81,Adam Wharton,€30.5M
82,Cristian Romero,€30.5M
83,Destiny Udogie,€29.6M
84,James Maddison,€29.3M
85,Leon Bailey,€28.6M
86,Sven Botman,€28.5M
87,Richarlison,€28.1M
88,Mason Mount,€28.1M
89,Mohamed Salah,€27.9M
90,Marc Cucurella,€27.8M
91,Oleksandr Zinchenko,€27.7M
92,Eddie Nketiah,€27.7M
93,Antoine Semenyo,€27.6M
94,Alisson,€27.5M
95,Ibrahima Konaté,€27.4M
96,Jack Harrison,€27.3M
97,Emile Smith Rowe,€27M
98,Wilson Odobert,€26.9M
99,Murillo,€26.8M
100,Harvey Barnes,€26.5M
101,Timothy Castagne,€26.4M
102,Trent Alexander-Arnold,€26.4M
103,John Stones,€26M
104,Danilo,€25.9M
105,Rayan Aït-Nouri,€25.8M
106,Matheus Cunha,€25.5M
107,Jacob Ramsey,€25.5M
108,James Garner,€25.4M
109,Edson Álvarez,€25.4M
110,James Ward-Prowse,€25M
111,Benoît Badiashile,€24.8M
112,Aaron Wan-Bissaka,€24.7M
113,Antony,€24.6M
114,Facundo Buonanotte,€24.5M
115,Oliver Skipp,€24.4M
116,Vitaly Janelt,€23.9M
117,Leandro Trossard,€23.8M
118,Vitaliy Mykolenko,€23.6M
119,Carlos Baleba,€23.6M
120,Reece James,€23M
121,Callum Hudson-Odoi,€23M
122,Nathan Aké,€23M
123,Luke Shaw,€22.8M
124,Justin Kluivert,€22.7M
125,Malo Gusto,€22.2M
126,Cheick Doucouré,€22.2M
127,Bart Verbruggen,€21.8M
128,Axel Disasi,€21.5M
129,Joe Gomez,€21.2M
130,Matty Cash,€20.9M
131,Sander Berge,€20.8M
132,Aaron Ramsdale,€20.5M
133,João Pedro,€20.5M
134,Aaron Hickey,€20M
135,Anthony Elanga,€19.9M
136,Marcus Tavernier,€19.6M
137,Matheus Nunes,€19.4M
138,Radu Drăgușin,€19.3M
139,Morgan Rogers,€19.2M
140,Virgil van Dijk,€19M
141,James Tarkowski,€18.9M
142,Kyle Walker,€18.8M
143,Pape Matar Sarr,€18.5M
144,Calvin Bassey,€18.4M
145,Curtis Jones,€18M
146,Simon Adingra,€17.9M
147,Kaoru Mitoma,€17.9M
148,Maxime Estève,€17.7M
149,Trevoh Chalobah,€17.6M
150,João Gomes,€17.5M
151,Joe Willock,€17.1M
152,Joelinton,€17.1M
153,Jakub Kiwior,€17M
154,Lewis Cook,€16.6M
155,Dango Ouattara,€16.6M
156,Ryan Christie,€16.6M
157,Pervis Estupiñán,€16.5M
158,Dara O'Shea,€16.4M
159,Bernd Leno,€16.4M
160,Yoane Wissa,€16.3M
161,Miguel Almirón,€16.2M
162,Rico Henry,€16M
163,Tyrick Mitchell,€16M
164,Sean Longstaff,€15.7M
165,Cameron Archer,€15.7M
166,James Trafford,€15.5M
167,Yves Bissouma,€15.5M
168,Milos Kerkez,€15.5M
169,Rodrigo Bentancur,€15.5M
170,Robert Sánchez,€15.4M
171,Guglielmo Vicario,€14.9M
172,Jan Paul van Hecke,€14.7M
173,Kristoffer Ajer,€14.7M
174,Takehiro Tomiyasu,€14.5M
175,Jacob Murphy,€14.4M
176,Lisandro Martínez,€14.3M
177,Tyler Adams,€14.2M
178,Casemiro,€14.1M
179,Dan Burn,€14M
180,Harry Wilson,€13.9M
181,Amad Diallo,€13.8M
182,Wataru Endo,€13.6M
183,Chris Richards,€13.3M
184,Andreas Pereira,€13.3M
185,Lewis Dunk,€13.3M
186,Nicolás Domínguez,€13.2M
187,Armando Broja,€13.2M
188,Ben Chilwell,€13.1M
189,José Sá,€13.1M
190,Igor,€13M
191,Solly March,€12.5M
192,Ryan Yates,€12.4M
193,Mathias Jensen,€12.3M
194,Ibrahim Sangaré,€12.1M
195,Lloyd Kelly,€12M
196,Orel Mangala,€11.9M
197,Issa Diop,€11.8M
198,Tosin Adarabioyo,€11.5M
199,Jarell Quansah,€11.3M
200,Dean Henderson,€11.3M
201,Daniel Muñoz,€11M
202,Lyle Foster,€10.2M
203,Josh Cullen,€10M
204,Jean-Philippe Mateta,€9.9M
205,Ethan Pinnock,€9.8M
206,Keane Lewis-Potter,€9.7M
207,Kalvin Phillips,€9.6M
208,Conor Bradley,€9.5M
209,Caoimhín Kelleher,€9.5M
210,Enes Ünal,€9.4M
211,Jefferson Lerma,€9.3M
212,Dominic Calvert-Lewin,€9.3M
213,Harrison Reed,€9.3M
214,Nélson Semedo,€9.2M
215,Mikkel Damsgaard,€9.1M
216,Arijanet Muric,€9M
217,Tommy Doyle,€9M
218,Matz Sels,€9M
219,Sam Johnstone,€9M
220,Marcos Senesi,€8.9M
221,Lesley Ugochukwu,€8.8M
222,William Osula,€8.7M
223,Lewis Hall,€8.7M
224,Julio Enciso,€8.6M
225,Gustavo Hamer,€8.4M
226,Neco Williams,€8.3M
227,Jordan Beyer,€8.2M
228,Victor Lindelöf,€8.2M
229,Saša Lukić,€8.2M
230,Konstantinos Mavropanos,€8.1M
231,Kieran Trippier,€8M
232,Oscar Bobb,€8M
233,Taiwo Awoniyi,€7.9M
234,Nick Pope,€7.9M
235,Philip Billing,€7.9M
236,Chiedozie Ogbene,€7.9M
237,Jean-Ricner Bellegarde,€7.5M
